,Index_page,ID,Date_publication,Title_and_author,Language_of_the_work,Word,Chapter,Hits,Requiered_tags,Additionnal_tags
0,126,44352265,17 Jan 2023, Pretty Boy by That_Gothic_Detective ,English,487,1/1,173,| Not Rated| Choose Not To Use Archive Warnings| No category| Complete Work|,|Creator Chose Not To Use Archive WarningsBilly Hargrove/Steve HarringtonBilly Hargrove Steve Harrington|
1,126,40381197,17 Jan 2023, That Guy by That_Gothic_Detective ,English,"1,074",1/1,74,| Not Rated| Choose Not To Use Archive Warnings| No category| Complete Work|,|Creator Chose Not To Use Archive WarningsBilly Hargrove/Steve HarringtonBilly Hargrove Steve Harrington|
2,126,43347087,17 Jan 2023, Good Girls Don’t (But I Do) by Alovelycolordarling ,English,"49,630",9/9,4654,| Explicit| Choose Not To Use Archive Warnings| F/M| Complete Work|,|Creator Chose Not To Use Archive WarningsChrissy Cunningham/Eddie MunsonChrissy Cunningham Eddie MunsonUnplanned Pregnancy sex while high Fluff and Angst Friends to Lovers No Vecna (Stranger Things) Cheating Recreational Drug Use Vaginal Sex Kissing Making Out hellcheer - Freeform|
3,126,44249872,17 Jan 2023, is it really you? by skjachuk (hotelbooks) ,English,"34,513",3/3,716,| Mature| Graphic Depictions Of Violence| M/M| Complete Work|,"|Graphic Depictions Of ViolenceSteve Harrington/Eddie Munson Eddie Munson & The Party Eddie Munson & Wayne MunsonEddie Munson Steve Harrington Eddie Munson's Parents Steve Harrington's Parents Wayne Munson The Party (Stranger Things) Robin Buckley Nancy Wheeler Dustin Henderson Gareth (Stranger Things) Jeff (Stranger Things) Corroded Coffin (Stranger Things) Eleven | Jane Hopper Jim ""Chief"" HopperChildhood friends to enemies to lovers AAAA Childhood Friends Implied/Referenced Child Abuse Eddie Munson Lives Hurt Eddie Munson Eddie Munson Has a Crush on Steve Harrington Eddie Munson Needs a Hug Steve Harrington is a Sweetheart Eddie Munson-centric Gay Eddie Munson Parent Death Non-Consensual Drug Use Implied/Referenced Drug Use Alternate Universe - Canon Divergence But also Canon Compliant in a way? - Freeform Suicidal Thoughts Suicidal Ideation eddie’s death discussed as suicide Angst with a Happy Ending Hurt/Comfort The Upside Down (Stranger Things)|"
4,126,43899153,17 Jan 2023, Steddie AU by Jesusisntrea1 ,English,"4,208",4/?,1136,| Explicit| Choose Not To Use Archive Warnings| M/M| Work in Progress|,|Creator Chose Not To Use Archive WarningsSteve Harrington/Eddie MunsonEddie Munson Steve Harrington Mike WheelerEddie Munson Lives Dead Eddie Munson Mechanic Eddie Munson Alternate Universe Top Eddie Munson Bottom Steve Harrington Robin Buckley & Steve Harrington Are Best Friends Eddie Munson Has a Crush on Steve Harrington Steve Harrington Has a Crush on Eddie Munson|
5,126,43251858,17 Jan 2023, Operation Fake Dating by byL0vers ,English,"3,319",2/?,364,| Teen And Up Audiences| No Archive Warnings Apply| Multi| Work in Progress|,|No Archive Warnings ApplySteve Harrington/Nancy Wheeler Robin Buckley/Nancy Wheeler Steve Harrington/Eddie MunsonNancy Wheeler Steve Harrington Robin Buckley Eddie MunsonLesbian Nancy Wheeler Gay Steve Harrington Platonic stancy Steve Harrington & Nancy Wheeler Are Best Friends Jealousy steve and nancy are in the same grade level cause it makes this easier they’re both seniors nothing supernatural just pure fluff during season 4 time but im just pretending that nancy and robin haven’t talked before also the party is still in middle school|
6,126,41332254,17 Jan 2023, cherries in the backyard by creatureoftheash ,English,"2,600",1/1,381,"| Teen And Up Audiences| No Archive Warnings Apply| F/M, Gen| Complete Work|",|No Archive Warnings ApplyChrissy Cunningham/Eddie Munson Chrissy Cunningham & Eddie Munson Robin Buckley & Chrissy Cunningham & Steve Harrington & Eddie MunsonChrissy Cunningham Eddie Munson Steve Harrington Robin Buckley Hawkins High CheerleadersAlternate Universe - Canon Divergence Chrissy Cunningham is Resurrected Post-Vecna (Stranger Things)|
7,126,41145888,17 Jan 2023, Hey Jude by LunaLove4537 ,English,"127,410",25/?,7963,| Mature| Graphic Depictions Of Violence| F/M| Work in Progress|,"|Graphic Depictions Of ViolenceEddie Munson/Original Female Character(s) Eddie Munson/Original Character(s) Jason Carver & Chrissy Cunningham Jason Carver/Chrissy Cunningham Chance (Stranger Things)/Reader Chance (Stranger Things) & Original Female Character Maxine ""Max"" Mayfield/Lucas Sinclair Eddie Munson & The Party Eddie Munson/Reader Eddie Munson & Wayne Munson Eddie Munson x OCEddie Munson Original Female Character(s) Mayfield Sister Maxine ""Max"" Mayfield Susan Hargrove Neil Hargrove Billy Hargrove Steve Harrington Robin Buckley Nancy Wheeler Chrissy Cunningham's Mother Chrissy Cunningham Jason Carver Chance (Stranger Things) Jonathan Byers Will Byers Eleven | Jane Hopper Dustin Henderson Lucas Sinclair Erica Sinclair Mike Wheeler Vecna (Stranger Things)Friends to Lovers Slow Burn Sibling Loss Grief/Mourning Post-Traumatic Stress Disorder - PTSD Fluff and Angst Fluff Bullying Eating Disorders Falling In Love Sharing a Bed Forced Proximity Idiots in Love Panic Attacks Anxiety Protective Siblings Eddie Munson Lives Fix-It Developing Relationship Hurt/Comfort Family Friendship Romance Eventual Romance Love Humor Trauma Other Additional Tags to Be Added Eddie Munson is a Sweetheart Eddie Munson Needs a Hug Soft Eddie Munson Hurt Eddie Munson Protective Eddie Munson Eddie Munson in Love Verbal Abuse Implied/Referenced Child Abuse Implied/Referenced Alcohol Abuse/Alcoholism Loss of Parent(s) Recreational Drug Use Not Canon Compliant Mild Smut|"
8,126,44350642,17 Jan 2023," don't you go, won't you stay with me one more day by kingofnowhereville ",English,"3,122",2/2,430,| Explicit| Choose Not To Use Archive Warnings| M/M| Complete Work|,|Creator Chose Not To Use Archive WarningsTommy Hagan/Steve HarringtonTommy Hagan Steve HarringtonAngst Hate Sex They don't get together Post S3 Pre S4 past something tommy being an idiot Period Typical Language Internalized Homophobia mention of something between tommy and billy Sad blowjob ill prepared sex in family video Porn With Plot these bitches stay fighting|
9,126,41990580,17 Jan 2023, I will find my peace. by Willbyerskinn ,Українська,"1,109",1/?,52,"| Teen And Up Audiences| Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death| M/M| Work in Progress|","|Creator Chose Not To Use Archive Warnings Graphic Depictions Of Violence Major Character DeathWill Byers/Mike Wheeler Eleven | Jane Hopper/Mike Wheeler Maxine ""Max"" Mayfield/Lucas Sinclair Joyce Byers/Jim ""Chief"" HopperJonathan Byers Eleven | Jane Hopper Jim ""Chief"" Hopper Steve Harrington Argyle (Stranger Things) Karen Wheeler Ted Wheeler (Stranger Things) Nancy Wheeler Robin Buckley Vecna (Stranger Things) Lucas Sinclair Maxine ""Max"" Mayfield Dustin Henderson Erica SinclairImplied/Referenced Self-Harm First Kiss Gay Will Byers Sad Will Byers Will Byers Is Not Okay Will Byers Needs a Hug Will Byers Loves Mike Wheeler Vecna Possessing Will Byers Suicidal Thoughts POV Mike Wheeler Mike Wheeler Loves Will Byers Mike Wheeler Being an Idiot Mike Wheeler Being an Asshole Mike Wheeler Being Homophobic Mike Wheeler Has Issues Siblings Will Byers & Eleven | Jane Hopper Will Byers/Mike Wheeler-centric Post-Season/Series 04 Post-Stranger Things 4 Vol. 2 Я з України Майк Вілер як завжди повний ідіот Картина Вілла Байєрса Я дуже люблю ангст Байлер канон Мілевен тільки на початку Не бийте мене Проблеми двох хлопців які не розуміють що вони закохані в одне одного|"
