,Index_page,ID,Date_publication,Title_and_author,Language_of_the_work,Word,Chapter,Hits,Requiered_tags,Additionnal_tags
0,46,42019719,28 Jan 2023, Never knew I’d end up liking you this much by Tk_pou ,English,"79,385",20/?,6226,| Mature| Graphic Depictions Of Violence| M/M| Work in Progress|,"|Graphic Depictions Of ViolenceBilly Hargrove/Steve HarringtonBilly Hargrove Steve Harrington Robin Buckley Neil Hargrove Susan Hargrove Erica Sinclair Jim ""Chief"" Hopper Joyce Byers The Party (Stranger Things) Heather Holloway Tommy Hagan Carol PerkinsFalling In Love spending summer together Enemies to Friends to Lovers Child Abuse Summer School Summer Jobs Partying Alcohol Internalized Homophobia Pining Fluff and Angst Homophobia Slow Burn the night at the Byers never happened Explicit Language Blood and Violence Billy Hargrove Has a Crush on Steve Harrington The Party Friendship (Stranger Things) Awkward Tension Feelings Realization Billy Hargrove is Bad at Feelings Soft Billy Hargrove Good Babysitter Steve Harrington Suicidal Thoughts Eventual Smut Teen Romance Awkward Crush Steve has nightmares about the upside down Billy fell first and harder Neil Hargrove is His Own Warning First Time First Time Blow Jobs|"
1,46,40780041,28 Jan 2023, Skindeep by HolographicBunny ,English,"48,844",22/?,20002,"| Explicit| Choose Not To Use Archive Warnings| F/F, M/M| Work in Progress|",|Creator Chose Not To Use Archive WarningsSteve Harrington/Eddie Munson Robin Buckley/Nancy WheelerSteve Harrington Dustin Eddie Munson Robin Buckley Nancy WheelerSteve Harrington Needs a Hug Bisexual Steve Harrington Gay Eddie Munson Steve and Dustin are brothers overworked Steve Harrington Protective Steve Harrington Hair Stylist Steve Harrington Tattoo Artist Eddie Munson Guitarist Eddie Munson Protective Eddie Munson Soft Dom Eddie Munson Dungeons & Dragons References Alternate Universe - Modern Setting Soft Boys Kinks Domestic Fluff Fluff and Smut hanky code Eddie Munson Wears Nail Polish Eddie Munson Wears Eyeliner Steve Harrington Has a Bisexual Awakening|
2,46,42903306,28 Jan 2023, Steve Tries DnD by SleepyEye ,English,828,1/1,261,| Teen And Up Audiences| No Archive Warnings Apply| M/M| Complete Work|,|No Archive Warnings ApplySteve Harrington/Eddie MunsonSteve Harrington Eddie Munson Will Byers Lucas Sinclair Erica Sinclair Hellfire Club (Stranger Things)Steve Harrington Plays Dungeons & Dragons so many innuendos Fluff Drabble just total nonsense I've never actually played Forgive any inaccuracies|
3,46,44604313,28 Jan 2023, Church (I'd Get On My Knees) by railmehotchner ,English,"1,711",1/?,116,| Mature| Choose Not To Use Archive Warnings| F/M| Work in Progress|,|Creator Chose Not To Use Archive WarningsSteve Harrington/ReaderSteve Harrington Eddie Munson Jonathan Byers Nancy Wheeler Joyce ByersEnemies to Lovers slightly unhinged The dove isn't dead but it isn't doing great Season One Centric Hurt No Comfort Steve Harrington Being an Asshole Heavy Angst Angst Slow Burn Fake/Pretend Relationship Stranger Things 1 Nancy Wheeler Loves Jonathan Byers Minor Steve Harrington/Nancy Wheeler Reader-Insert Protective Joyce Byers Hate Sex Hate to Love Angst and Fluff and Smut Smut Rough Sex Angry Sex|
4,46,44603683,28 Jan 2023, daisy by thyme_in_a_bubble ,English,"23,292",10/10,4110,| Explicit| Choose Not To Use Archive Warnings| F/M| Complete Work|,|Creator Chose Not To Use Archive WarningsSteve Harrington/Reader Steve Harrington/You Steve Harrington/Original Female Character(s) Steve Harrington & Reader Steve Harrington & Original Female Character(s)Steve Harrington Eddie Munsonprivate school!reader Friends to Lovers Innocent!Reader steve has a monster cock that is just fact don't ask me why I wrote a 10 part series about it that's all there is to it: his massive dick Private School High School Love Confessions Kissing Underwear Theft Underwear Kink Masturbation Diary/Journal Vaginal Fingering Anal Fingering Dirty Talk Smut Shameless Smut Plot What Plot/Porn Without Plot Size Kink Somnophilia Pussyjob Dry Humping Overstimulation Hand Jobs Blow Jobs Public Blow Jobs Loss of Virginity virgin!reader Clothed Sex Non-Penetrative Sex Sex Rough Sex Vaginal Sex Anal Sex Oral Sex Semi-Public Sex Double Penetration Creampie Multiple Orgasms Car Sex Outdoor Sex Locker Room Spit Kink Female Ejaculation Crying Dacryphilia Spanking Manhandling Prom all characters are 18+ Exhibitionism Swimming swimming in lover's lake Mildly Dubious Consent|
5,46,44592421,28 Jan 2023, A Jump to the Left by Twigen ,English,"13,679",3/16,2052,"| Explicit| No Archive Warnings Apply| M/M, Multi| Work in Progress|","|No Archive Warnings ApplySteve Harrington/Eddie Munson Minor or Background Relationship(s)Steve Harrington Eddie Munson Robin Buckley Dustin Henderson Jim ""Chief"" Hopper Eleven | Jane Hopper Sam Owens (Stranger Things) Joyce Byers Will Byers Jonathan Byers Mike Wheeler Nancy Wheeler Lucas Sinclair Erica Sinclair Maxine ""Max"" Mayfield Billy HargroveAlpha/Omega Non-Traditional Alpha/Beta/Omega Dynamics Gender Roles Alternate Universe - Canon Divergence Dimension Travel Fix-It of Sorts Alternate Universe - Time Travel Alpha Eddie Munson Omega Steve Harrington Mates Horror Paranormal Romance Canon-Typical Violence Implied/Referenced Child Abuse Kidnapping Experimentation Implied Mpreg Rough Trade omegas have vaginas Male omegas also have penises|"
6,46,43983654,28 Jan 2023, Steddie Dancing by FerYerHealth ,English,"38,285",14/?,2640,| Mature| Graphic Depictions Of Violence| M/M| Work in Progress|,|Graphic Depictions Of ViolenceSteve Harrington/Eddie MunsonSteve Harrington Eddie Munson Robin Buckley Steve Harrington's Parents Steve Harrington's Mother Steve Harrington's Father The Party (Stranger Things) Original CharactersDirty Dancing Fluff and Angst Alternate Universe - Canon Divergence Eddie Munson Lives Gay Eddie Munson Eddie Munson Has a Crush on Steve Harrington Bisexual Steve Harrington POV Steve Harrington Alternate Universe - Everyone Lives/Nobody Dies Robin Buckley & Steve Harrington Friendship Lesbian Robin Buckley Steve Harrington is an ABBA Fan Summer of '86 The gates are closed Period-Typical Homophobia Period Typical Bigotry period typical homophobic slurs Steve Harrington's Father Being an Asshole Sharing Clothes Hate Crimes Recreational Drug Use Implied/Referenced Drug Use Drinking Eddie Munson in a Band Eddie is a music instructor instead of a dance instructor but trust me it works Post-Vecna (Stranger Things) Inspired by Dirty Dancing (1987) Alternate Universe - Dirty Dancing Fusion Implied/Referenced Child Abuse|
7,46,44346538,28 Jan 2023, Community Service by mellowship ,English,"7,179",2/2,1243,| Not Rated| Choose Not To Use Archive Warnings| Gen| Complete Work|,"|Creator Chose Not To Use Archive WarningsSteve Harrington & Jim ""Chief"" HopperJim ""Chief"" Hopper Steve Harrington Steve Harrington's ParentsPOV Jim ""Chief"" Hopper Young Steve Harrington Child Loss Implied/Referenced Child Abuse Jim ""Chief"" Hopper Being Jim ""Chief"" Hopper Theft Steve Harrington Has Bad Parents Protective Jim ""Chief"" Hopper Parental Jim ""Chief"" Hopper Steve Harrington Needs a Hug|"
8,46,44604331,28 Jan 2023, Tearing the veil from grace by LadyDarkness  for ToboldHornblowerOldTobyFinestTOLKEINWeed ,English,"2,896",1/?,9,| Explicit| Graphic Depictions Of Violence| F/M| Work in Progress|,|Graphic Depictions Of ViolenceJackie Estacado/Original Female Character(s) Eddie Munson/Original Female Character(s)Jackie Estacado (The Darkness) Dean Winchester Sam Winchester Eddie MunsonMarried Jackie Estacado Hawkins is Not Destroyed (Stranger Things) Quote: Saving people hunting things (Supernatural) Alternate Universe - Supernatural Hunters Comic Book Violence Crossovers & Fandom Fusions Multiple Crossovers Sex Smut Dark Character Time Travel Fix-It Magical Artifacts Organized Crime Franchetti Crime Family Summoning Circles|
9,46,44094513,28 Jan 2023, From Vecna to Van Nuys (And Back Again) by EddieSpaghetti (Nikanaiko) ,English,"105,325",14/?,7058,| Mature| Graphic Depictions Of Violence| M/M| Work in Progress|,|Graphic Depictions Of ViolenceSteve Harrington/Eddie MunsonSteve Harrington Eddie Munson Dustin HendersonEddie Munson Lives Steve Gets Vecna'd And That's Just The Start Of His Problems Corroded Coffin Gets Famous POV Alternating Three Years Later Slow Burn But The Crush Is Mutual From The Start No Smut But It Might Get A Little Steamy Angst with a Happy Ending Minor Will Byers/Mike Wheeler Use of queer as a slur HIV/AIDS Crisis Mention Homophobic Language Slurs Steve Harrington is Not Okay Steve Harrington Has Bad Parents Eddie Munson Has Bad Parents Bad Parent Lonnie Byers Fluff and Angst|
